Admission Type,Year,Admissions,Service Type,Hospital Admissions,Facility Type,Number of Beds
    Tan Tock Seng Hospital,2016,56738,Community Hospitals Admissions,13881,Acute Hospitals,10318
    Tan Tock Seng Hospital,2016,56738,Community Hospitals Admissions,13881,Psychiatric Hospitals,1950
    Tan Tock Seng Hospital,2016,56738,Community Hospitals Admissions,13881,Community Hospitals,1663
    Tan Tock Seng Hospital,2016,56738,Community Hospitals Admissions,13881,Nursing Homes,13022
    Tan Tock Seng Hospital,2016,56738,Specialist Outpatient Clinics,4954502,Acute Hospitals,10318
    Tan Tock Seng Hospital,2016,56738,Specialist Outpatient Clinics,4954502,Psychiatric Hospitals,1950
    Tan Tock Seng Hospital,2016,56738,Specialist Outpatient Clinics,4954502,Community Hospitals,1663
    Tan Tock Seng Hospital,2016,56738,Specialist Outpatient Clinics,4954502,Nursing Homes,13022
    Tan Tock Seng Hospital,2016,56738,Accident & Emergency Departments,1008718,Acute Hospitals,10318
    Tan Tock Seng Hospital,2016,56738,Accident & Emergency Departments,1008718,Psychiatric Hospitals,1950
    Tan Tock Seng Hospital,2016,56738,Accident & Emergency Departments,1008718,Community Hospitals,1663
    Tan Tock Seng Hospital,2016,56738,Accident & Emergency Departments,1008718,Nursing Homes,13022
    Tan Tock Seng Hospital,2016,56738,Polyclinics,5263999,Acute Hospitals,10318
    Tan Tock Seng Hospital,2016,56738,Polyclinics,5263999,Psychiatric Hospitals,1950
    Tan Tock Seng Hospital,2016,56738,Polyclinics,5263999,Community Hospitals,1663
    Tan Tock Seng Hospital,2016,56738,Polyclinics,5263999,Nursing Homes,13022
    Tan Tock Seng Hospital,2016,56738,Dental Clinics,1063502,Acute Hospitals,10318
    Tan Tock Seng Hospital,2016,56738,Dental Clinics,1063502,Psychiatric Hospitals,1950
    Tan Tock Seng Hospital,2016,56738,Dental Clinics,1063502,Community Hospitals,1663
    Tan Tock Seng Hospital,2016,56738,Dental Clinics,1063502,Nursing Homes,13022
    Tan Tock Seng Hospital,2016,56738,Day Surgeries,326214,Acute Hospitals,10318
    Tan Tock Seng Hospital,2016,56738,Day Surgeries,326214,Psychiatric Hospitals,1950
    Tan Tock Seng Hospital,2016,56738,Day Surgeries,326214,Community Hospitals,1663
    Tan Tock Seng Hospital,2016,56738,Day Surgeries,326214,Nursing Homes,13022
    Institute Of Mental Health / Woodbridge Hospital,2016,9028,Acute Hospitals Admissions,546256,Acute Hospitals,10318
    Institute Of Mental Health / Woodbridge Hospital,2016,9028,Acute Hospitals Admissions,546256,Psychiatric Hospitals,1950
    Institute Of Mental Health / Woodbridge Hospital,2016,9028,Acute Hospitals Admissions,546256,Community Hospitals,1663
    Institute Of Mental Health / Woodbridge Hospital,2016,9028,Acute Hospitals Admissions,546256,Nursing Homes,13022
    Institute Of Mental Health / Woodbridge Hospital,2016,9028,Psychiatric Hospitals Admissions,9028,Acute Hospitals,10318
    Institute Of Mental Health / Woodbridge Hospital,2016,9028,Psychiatric Hospitals Admissions,9028,Psychiatric Hospitals,1950
    Institute Of Mental Health / Woodbridge Hospital,2016,9028,Psychiatric Hospitals Admissions,9028,Community Hospitals,1663
    Institute Of Mental Health / Woodbridge Hospital,2016,9028,Psychiatric Hospitals Admissions,9028,Nursing Homes,13022
    Institute Of Mental Health / Woodbridge Hospital,2016,9028,Community Hospitals Admissions,13881,Acute Hospitals,10318
    Institute Of Mental Health / Woodbridge Hospital,2016,9028,Community Hospitals Admissions,13881,Psychiatric Hospitals,1950
    Institute Of Mental Health / Woodbridge Hospital,2016,9028,Community Hospitals Admissions,13881,Community Hospitals,1663
    Institute Of Mental Health / Woodbridge Hospital,2016,9028,Community Hospitals Admissions,13881,Nursing Homes,13022
    Institute Of Mental Health / Woodbridge Hospital,2016,9028,Specialist Outpatient Clinics,4954502,Acute Hospitals,10318
    Institute Of Mental Health / Woodbridge Hospital,2016,9028,Specialist Outpatient Clinics,4954502,Psychiatric Hospitals,1950
    Institute Of Mental Health / Woodbridge Hospital,2016,9028,Specialist Outpatient Clinics,4954502,Community Hospitals,1663
    Institute Of Mental Health / Woodbridge Hospital,2016,9028,Specialist Outpatient Clinics,4954502,Nursing Homes,13022
    Institute Of Mental Health / Woodbridge Hospital,2016,9028,Accident & Emergency Departments,1008718,Acute Hospitals,10318
    Institute Of Mental Health / Woodbridge Hospital,2016,9028,Accident & Emergency Departments,1008718,Psychiatric Hospitals,1950
    Institute Of Mental Health / Woodbridge Hospital,2016,9028,Accident & Emergency Departments,1008718,Community Hospitals,1663
    Institute Of Mental Health / Woodbridge Hospital,2016,9028,Accident & Emergency Departments,1008718,Nursing Homes,13022
    Institute Of Mental Health / Woodbridge Hospital,2016,9028,Polyclinics,5263999,Acute Hospitals,10318
    Institute Of Mental Health / Woodbridge Hospital,2016,9028,Polyclinics,5263999,Psychiatric Hospitals,1950
    Institute Of Mental Health / Woodbridge Hospital,2016,9028,Polyclinics,5263999,Community Hospitals,1663
    Institute Of Mental Health / Woodbridge Hospital,2016,9028,Polyclinics,5263999,Nursing Homes,13022
    Institute Of Mental Health / Woodbridge Hospital,2016,9028,Dental Clinics,1063502,Acute Hospitals,10318
    Institute Of Mental Health / Woodbridge Hospital,2016,9028,Dental Clinics,1063502,Psychiatric Hospitals,1950
    Institute Of Mental Health / Woodbridge Hospital,2016,9028,Dental Clinics,1063502,Community Hospitals,1663
    Institute Of Mental Health / Woodbridge Hospital,2016,9028,Dental Clinics,1063502,Nursing Homes,13022
    Institute Of Mental Health / Woodbridge Hospital,2016,9028,Day Surgeries,326214,Acute Hospitals,10318
    Institute Of Mental Health / Woodbridge Hospital,2016,9028,Day Surgeries,326214,Psychiatric Hospitals,1950
    Institute Of Mental Health / Woodbridge Hospital,2016,9028,Day Surgeries,326214,Community Hospitals,1663
    Institute Of Mental Health / Woodbridge Hospital,2016,9028,Day Surgeries,326214,Nursing Homes,13022
    Kandang Kerbau Women's & Children's Hospital,2016,73214,Acute Hospitals Admissions,546256,Acute Hospitals,10318
    Kandang Kerbau Women's & Children's Hospital,2016,73214,Acute Hospitals Admissions,546256,Psychiatric Hospitals,1950
    Kandang Kerbau Women's & Children's Hospital,2016,73214,Acute Hospitals Admissions,546256,Community Hospitals,1663
    Kandang Kerbau Women's & Children's Hospital,2016,73214,Acute Hospitals Admissions,546256,Nursing Homes,13022
    Kandang Kerbau Women's & Children's Hospital,2016,73214,Psychiatric Hospitals Admissions,9028,Acute Hospitals,10318
    Kandang Kerbau Women's & Children's Hospital,2016,73214,Psychiatric Hospitals Admissions,9028,Psychiatric Hospitals,1950
    Kandang Kerbau Women's & Children's Hospital,2016,73214,Psychiatric Hospitals Admissions,9028,Community Hospitals,1663
    Kandang Kerbau Women's & Children's Hospital,2016,73214,Psychiatric Hospitals Admissions,9028,Nursing Homes,13022
    Kandang Kerbau Women's & Children's Hospital,2016,73214,Community Hospitals Admissions,13881,Acute Hospitals,10318
    Kandang Kerbau Women's & Children's Hospital,2016,73214,Community Hospitals Admissions,13881,Psychiatric Hospitals,1950
    Kandang Kerbau Women's & Children's Hospital,2016,73214,Community Hospitals Admissions,13881,Community Hospitals,1663
    Kandang Kerbau Women's & Children's Hospital,2016,73214,Community Hospitals Admissions,13881,Nursing Homes,13022
    Kandang Kerbau Women's & Children's Hospital,2016,73214,Specialist Outpatient Clinics,4954502,Acute Hospitals,10318
    Kandang Kerbau Women's & Children's Hospital,2016,73214,Specialist Outpatient Clinics,4954502,Psychiatric Hospitals,1950
    Kandang Kerbau Women's & Children's Hospital,2016,73214,Specialist Outpatient Clinics,4954502,Community Hospitals,1663
    Kandang Kerbau Women's & Children's Hospital,2016,73214,Specialist Outpatient Clinics,4954502,Nursing Homes,13022
    Kandang Kerbau Women's & Children's Hospital,2016,73214,Accident & Emergency Departments,1008718,Acute Hospitals,10318
    Kandang Kerbau Women's & Children's Hospital,2016,73214,Accident & Emergency Departments,1008718,Psychiatric Hospitals,1950
    Kandang Kerbau Women's & Children's Hospital,2016,73214,Accident & Emergency Departments,1008718,Community Hospitals,1663
    Kandang Kerbau Women's & Children's Hospital,2016,73214,Accident & Emergency Departments,1008718,Nursing Homes,13022
    Kandang Kerbau Women's & Children's Hospital,2016,73214,Polyclinics,5263999,Acute Hospitals,10318
    Kandang Kerbau Women's & Children's Hospital,2016,73214,Polyclinics,5263999,Psychiatric Hospitals,1950
    Kandang Kerbau Women's & Children's Hospital,2016,73214,Polyclinics,5263999,Community Hospitals,1663
    Kandang Kerbau Women's & Children's Hospital,2016,73214,Polyclinics,5263999,Nursing Homes,13022
    Kandang Kerbau Women's & Children's Hospital,2016,73214,Dental Clinics,1063502,Acute Hospitals,10318
    Kandang Kerbau Women's & Children's Hospital,2016,73214,Dental Clinics,1063502,Psychiatric Hospitals,1950
    Kandang Kerbau Women's & Children's Hospital,2016,73214,Dental Clinics,1063502,Community Hospitals,1663
    Kandang Kerbau Women's & Children's Hospital,2016,73214,Dental Clinics,1063502,Nursing Homes,13022
    Kandang Kerbau Women's & Children's Hospital,2016,73214,Day Surgeries,326214,Acute Hospitals,10318
    Kandang Kerbau Women's & Children's Hospital,2016,73214,Day Surgeries,326214,Psychiatric Hospitals,1950
    Kandang Kerbau Women's & Children's Hospital,2016,73214,Day Surgeries,326214,Community Hospitals,1663
    Kandang Kerbau Women's & Children's Hospital,2016,73214,Day Surgeries,326214,Nursing Homes,13022
Public Sector Hospital Admissions,2017,446198,Acute Hospitals Admissions,568117,Acute Hospitals,10340
Public Sector Hospital Admissions,2017,446198,Acute Hospitals Admissions,568117,Psychiatric Hospitals,1950
Public Sector Hospital Admissions,2017,446198,Acute Hospitals Admissions,568117,Community Hospitals,1663
Public Sector Hospital Admissions,2017,446198,Acute Hospitals Admissions,568117,Nursing Homes,14918
Public Sector Hospital Admissions,2017,446198,Psychiatric Hospitals Admissions,9316,Acute Hospitals,10340
Public Sector Hospital Admissions,2017,446198,Psychiatric Hospitals Admissions,9316,Psychiatric Hospitals,1950
Public Sector Hospital Admissions,2017,446198,Psychiatric Hospitals Admissions,9316,Community Hospitals,1663
Public Sector Hospital Admissions,2017,446198,Psychiatric Hospitals Admissions,9316,Nursing Homes,14918
Public Sector Hospital Admissions,2017,446198,Community Hospitals Admissions,16355,Acute Hospitals,10340
Public Sector Hospital Admissions,2017,446198,Community Hospitals Admissions,16355,Psychiatric Hospitals,1950
Public Sector Hospital Admissions,2017,446198,Community Hospitals Admissions,16355,Community Hospitals,1663
Public Sector Hospital Admissions,2017,446198,Community Hospitals Admissions,16355,Nursing Homes,14918
Public Sector Hospital Admissions,2017,446198,Specialist Outpatient Clinics,4973743,Acute Hospitals,10340
Public Sector Hospital Admissions,2017,446198,Specialist Outpatient Clinics,4973743,Psychiatric Hospitals,1950
Public Sector Hospital Admissions,2017,446198,Specialist Outpatient Clinics,4973743,Community Hospitals,1663
Public Sector Hospital Admissions,2017,446198,Specialist Outpatient Clinics,4973743,Nursing Homes,14918
Public Sector Hospital Admissions,2017,446198,Accident & Emergency Departments,993458,Acute Hospitals,10340
Public Sector Hospital Admissions,2017,446198,Accident & Emergency Departments,993458,Psychiatric Hospitals,1950
Public Sector Hospital Admissions,2017,446198,Accident & Emergency Departments,993458,Community Hospitals,1663
Public Sector Hospital Admissions,2017,446198,Accident & Emergency Departments,993458,Nursing Homes,14918
Public Sector Hospital Admissions,2017,446198,Polyclinics,5925787,Acute Hospitals,10340
Public Sector Hospital Admissions,2017,446198,Polyclinics,5925787,Psychiatric Hospitals,1950
Public Sector Hospital Admissions,2017,446198,Polyclinics,5925787,Community Hospitals,1663
Public Sector Hospital Admissions,2017,446198,Polyclinics,5925787,Nursing Homes,14918
Public Sector Hospital Admissions,2017,446198,Dental Clinics,1067080,Acute Hospitals,10340
Public Sector Hospital Admissions,2017,446198,Dental Clinics,1067080,Psychiatric Hospitals,1950
Public Sector Hospital Admissions,2017,446198,Dental Clinics,1067080,Community Hospitals,1663
Public Sector Hospital Admissions,2017,446198,Dental Clinics,1067080,Nursing Homes,14918
Public Sector Hospital Admissions,2017,446198,Day Surgeries,339933,Acute Hospitals,10340
Public Sector Hospital Admissions,2017,446198,Day Surgeries,339933,Psychiatric Hospitals,1950
Public Sector Hospital Admissions,2017,446198,Day Surgeries,339933,Community Hospitals,1663
Public Sector Hospital Admissions,2017,446198,Day Surgeries,339933,Nursing Homes,14918
    National University Hospital,2017,64797,Acute Hospitals Admissions,568117,Acute Hospitals,10340
    National University Hospital,2017,64797,Acute Hospitals Admissions,568117,Psychiatric Hospitals,1950
    National University Hospital,2017,64797,Acute Hospitals Admissions,568117,Community Hospitals,1663
    National University Hospital,2017,64797,Acute Hospitals Admissions,568117,Nursing Homes,14918
    National University Hospital,2017,64797,Psychiatric Hospitals Admissions,9316,Acute Hospitals,10340
    National University Hospital,2017,64797,Psychiatric Hospitals Admissions,9316,Psychiatric Hospitals,1950
    National University Hospital,2017,64797,Psychiatric Hospitals Admissions,9316,Community Hospitals,1663
    National University Hospital,2017,64797,Psychiatric Hospitals Admissions,9316,Nursing Homes,14918
    National University Hospital,2017,64797,Community Hospitals Admissions,16355,Acute Hospitals,10340
    National University Hospital,2017,64797,Community Hospitals Admissions,16355,Psychiatric Hospitals,1950
    National University Hospital,2017,64797,Community Hospitals Admissions,16355,Community Hospitals,1663
    National University Hospital,2017,64797,Community Hospitals Admissions,16355,Nursing Homes,14918
    National University Hospital,2017,64797,Specialist Outpatient Clinics,4973743,Acute Hospitals,10340
    National University Hospital,2017,64797,Specialist Outpatient Clinics,4973743,Psychiatric Hospitals,1950
    National University Hospital,2017,64797,Specialist Outpatient Clinics,4973743,Community Hospitals,1663
    National University Hospital,2017,64797,Specialist Outpatient Clinics,4973743,Nursing Homes,14918
    National University Hospital,2017,64797,Accident & Emergency Departments,993458,Acute Hospitals,10340
    National University Hospital,2017,64797,Accident & Emergency Departments,993458,Psychiatric Hospitals,1950
    National University Hospital,2017,64797,Accident & Emergency Departments,993458,Community Hospitals,1663
    National University Hospital,2017,64797,Accident & Emergency Departments,993458,Nursing Homes,14918
    National University Hospital,2017,64797,Polyclinics,5925787,Acute Hospitals,10340
    National University Hospital,2017,64797,Polyclinics,5925787,Psychiatric Hospitals,1950
    National University Hospital,2017,64797,Polyclinics,5925787,Community Hospitals,1663
    National University Hospital,2017,64797,Polyclinics,5925787,Nursing Homes,14918
    National University Hospital,2017,64797,Dental Clinics,1067080,Acute Hospitals,10340
    National University Hospital,2017,64797,Dental Clinics,1067080,Psychiatric Hospitals,1950
    National University Hospital,2017,64797,Dental Clinics,1067080,Community Hospitals,1663
    National University Hospital,2017,64797,Dental Clinics,1067080,Nursing Homes,14918
    National University Hospital,2017,64797,Day Surgeries,339933,Acute Hospitals,10340
    National University Hospital,2017,64797,Day Surgeries,339933,Psychiatric Hospitals,1950
    National University Hospital,2017,64797,Day Surgeries,339933,Community Hospitals,1663
    National University Hospital,2017,64797,Day Surgeries,339933,Nursing Homes,14918
    Singapore General Hospital,2017,80732,Acute Hospitals Admissions,568117,Acute Hospitals,10340
    Singapore General Hospital,2017,80732,Acute Hospitals Admissions,568117,Psychiatric Hospitals,1950
    Singapore General Hospital,2017,80732,Acute Hospitals Admissions,568117,Community Hospitals,1663
    Singapore General Hospital,2017,80732,Acute Hospitals Admissions,568117,Nursing Homes,14918
    Singapore General Hospital,2017,80732,Psychiatric Hospitals Admissions,9316,Acute Hospitals,10340
    Singapore General Hospital,2017,80732,Psychiatric Hospitals Admissions,9316,Psychiatric Hospitals,1950
    Singapore General Hospital,2017,80732,Psychiatric Hospitals Admissions,9316,Community Hospitals,1663
    Singapore General Hospital,2017,80732,Psychiatric Hospitals Admissions,9316,Nursing Homes,14918
    Singapore General Hospital,2017,80732,Community Hospitals Admissions,16355,Acute Hospitals,10340
    Singapore General Hospital,2017,80732,Community Hospitals Admissions,16355,Psychiatric Hospitals,1950
    Singapore General Hospital,2017,80732,Community Hospitals Admissions,16355,Community Hospitals,1663
    Singapore General Hospital,2017,80732,Community Hospitals Admissions,16355,Nursing Homes,14918
    Singapore General Hospital,2017,80732,Specialist Outpatient Clinics,4973743,Acute Hospitals,10340
    Singapore General Hospital,2017,80732,Specialist Outpatient Clinics,4973743,Psychiatric Hospitals,1950
    Singapore General Hospital,2017,80732,Specialist Outpatient Clinics,4973743,Community Hospitals,1663
    Singapore General Hospital,2017,80732,Specialist Outpatient Clinics,4973743,Nursing Homes,14918
    Singapore General Hospital,2017,80732,Accident & Emergency Departments,993458,Acute Hospitals,10340
    Singapore General Hospital,2017,80732,Accident & Emergency Departments,993458,Psychiatric Hospitals,1950
    Singapore General Hospital,2017,80732,Accident & Emergency Departments,993458,Community Hospitals,1663
    Singapore General Hospital,2017,80732,Accident & Emergency Departments,993458,Nursing Homes,14918
    Singapore General Hospital,2017,80732,Polyclinics,5925787,Acute Hospitals,10340
    Singapore General Hospital,2017,80732,Polyclinics,5925787,Psychiatric Hospitals,1950
    Singapore General Hospital,2017,80732,Polyclinics,5925787,Community Hospitals,1663
    Singapore General Hospital,2017,80732,Polyclinics,5925787,Nursing Homes,14918
    Singapore General Hospital,2017,80732,Dental Clinics,1067080,Acute Hospitals,10340
    Singapore General Hospital,2017,80732,Dental Clinics,1067080,Psychiatric Hospitals,1950
    Singapore General Hospital,2017,80732,Dental Clinics,1067080,Community Hospitals,1663
    Singapore General Hospital,2017,80732,Dental Clinics,1067080,Nursing Homes,14918
    Singapore General Hospital,2017,80732,Day Surgeries,339933,Acute Hospitals,10340
    Singapore General Hospital,2017,80732,Day Surgeries,339933,Psychiatric Hospitals,1950
    Singapore General Hospital,2017,80732,Day Surgeries,339933,Community Hospitals,1663
    Singapore General Hospital,2017,80732,Day Surgeries,339933,Nursing Homes,14918
    Tan Tock Seng Hospital,2017,56631,Acute Hospitals Admissions,568117,Acute Hospitals,10340
    Tan Tock Seng Hospital,2017,56631,Acute Hospitals Admissions,568117,Psychiatric Hospitals,1950
    Tan Tock Seng Hospital,2017,56631,Acute Hospitals Admissions,568117,Community Hospitals,1663
    Tan Tock Seng Hospital,2017,56631,Acute Hospitals Admissions,568117,Nursing Homes,14918
    Tan Tock Seng Hospital,2017,56631,Psychiatric Hospitals Admissions,9316,Acute Hospitals,10340
    Tan Tock Seng Hospital,2017,56631,Psychiatric Hospitals Admissions,9316,Psychiatric Hospitals,1950
    Tan Tock Seng Hospital,2017,56631,Psychiatric Hospitals Admissions,9316,Community Hospitals,1663
    Tan Tock Seng Hospital,2017,56631,Psychiatric Hospitals Admissions,9316,Nursing Homes,14918
    Tan Tock Seng Hospital,2017,56631,Community Hospitals Admissions,16355,Acute Hospitals,10340
    Tan Tock Seng Hospital,2017,56631,Community Hospitals Admissions,16355,Psychiatric Hospitals,1950
    Tan Tock Seng Hospital,2017,56631,Community Hospitals Admissions,16355,Community Hospitals,1663
    Tan Tock Seng Hospital,2017,56631,Community Hospitals Admissions,16355,Nursing Homes,14918
    Tan Tock Seng Hospital,2017,56631,Specialist Outpatient Clinics,4973743,Acute Hospitals,10340
    Tan Tock Seng Hospital,2017,56631,Specialist Outpatient Clinics,4973743,Psychiatric Hospitals,1950
    Tan Tock Seng Hospital,2017,56631,Specialist Outpatient Clinics,4973743,Community Hospitals,1663
    Tan Tock Seng Hospital,2017,56631,Specialist Outpatient Clinics,4973743,Nursing Homes,14918
    Tan Tock Seng Hospital,2017,56631,Accident & Emergency Departments,993458,Acute Hospitals,10340
    Tan Tock Seng Hospital,2017,56631,Accident & Emergency Departments,993458,Psychiatric Hospitals,1950
    Tan Tock Seng Hospital,2017,56631,Accident & Emergency Departments,993458,Community Hospitals,1663
    Tan Tock Seng Hospital,2017,56631,Accident & Emergency Departments,993458,Nursing Homes,14918
    Tan Tock Seng Hospital,2017,56631,Polyclinics,5925787,Acute Hospitals,10340
    Tan Tock Seng Hospital,2017,56631,Polyclinics,5925787,Psychiatric Hospitals,1950
    Tan Tock Seng Hospital,2017,56631,Polyclinics,5925787,Community Hospitals,1663
    Tan Tock Seng Hospital,2017,56631,Polyclinics,5925787,Nursing Homes,14918
    Tan Tock Seng Hospital,2017,56631,Dental Clinics,1067080,Acute Hospitals,10340
    Tan Tock Seng Hospital,2017,56631,Dental Clinics,1067080,Psychiatric Hospitals,1950
    Tan Tock Seng Hospital,2017,56631,Dental Clinics,1067080,Community Hospitals,1663
    Tan Tock Seng Hospital,2017,56631,Dental Clinics,1067080,Nursing Homes,14918
    Tan Tock Seng Hospital,2017,56631,Day Surgeries,339933,Acute Hospitals,10340
    Tan Tock Seng Hospital,2017,56631,Day Surgeries,339933,Psychiatric Hospitals,1950
    Tan Tock Seng Hospital,2017,56631,Day Surgeries,339933,Community Hospitals,1663
    Tan Tock Seng Hospital,2017,56631,Day Surgeries,339933,Nursing Homes,14918
    Institute Of Mental Health / Woodbridge Hospital,2017,9316,Acute Hospitals Admissions,568117,Acute Hospitals,10340
    Institute Of Mental Health / Woodbridge Hospital,2017,9316,Acute Hospitals Admissions,568117,Psychiatric Hospitals,1950
    Institute Of Mental Health / Woodbridge Hospital,2017,9316,Acute Hospitals Admissions,568117,Community Hospitals,1663
    Institute Of Mental Health / Woodbridge Hospital,2017,9316,Acute Hospitals Admissions,568117,Nursing Homes,14918
    Institute Of Mental Health / Woodbridge Hospital,2017,9316,Psychiatric Hospitals Admissions,9316,Acute Hospitals,10340
    Institute Of Mental Health / Woodbridge Hospital,2017,9316,Psychiatric Hospitals Admissions,9316,Psychiatric Hospitals,1950
    Institute Of Mental Health / Woodbridge Hospital,2017,9316,Psychiatric Hospitals Admissions,9316,Community Hospitals,1663
    Institute Of Mental Health / Woodbridge Hospital,2017,9316,Psychiatric Hospitals Admissions,9316,Nursing Homes,14918
    Institute Of Mental Health / Woodbridge Hospital,2017,9316,Community Hospitals Admissions,16355,Acute Hospitals,10340
    Institute Of Mental Health / Woodbridge Hospital,2017,9316,Community Hospitals Admissions,16355,Psychiatric Hospitals,1950
    Institute Of Mental Health / Woodbridge Hospital,2017,9316,Community Hospitals Admissions,16355,Community Hospitals,1663
    Institute Of Mental Health / Woodbridge Hospital,2017,9316,Community Hospitals Admissions,16355,Nursing Homes,14918
    Institute Of Mental Health / Woodbridge Hospital,2017,9316,Specialist Outpatient Clinics,4973743,Acute Hospitals,10340
    Institute Of Mental Health / Woodbridge Hospital,2017,9316,Specialist Outpatient Clinics,4973743,Psychiatric Hospitals,1950
    Institute Of Mental Health / Woodbridge Hospital,2017,9316,Specialist Outpatient Clinics,4973743,Community Hospitals,1663
    Institute Of Mental Health / Woodbridge Hospital,2017,9316,Specialist Outpatient Clinics,4973743,Nursing Homes,14918
    Institute Of Mental Health / Woodbridge Hospital,2017,9316,Accident & Emergency Departments,993458,Acute Hospitals,10340
    Institute Of Mental Health / Woodbridge Hospital,2017,9316,Accident & Emergency Departments,993458,Psychiatric Hospitals,1950
    Institute Of Mental Health / Woodbridge Hospital,2017,9316,Accident & Emergency Departments,993458,Community Hospitals,1663
    Institute Of Mental Health / Woodbridge Hospital,2017,9316,Accident & Emergency Departments,993458,Nursing Homes,14918
    Institute Of Mental Health / Woodbridge Hospital,2017,9316,Polyclinics,5925787,Acute Hospitals,10340
    Institute Of Mental Health / Woodbridge Hospital,2017,9316,Polyclinics,5925787,Psychiatric Hospitals,1950
    Institute Of Mental Health / Woodbridge Hospital,2017,9316,Polyclinics,5925787,Community Hospitals,1663
    Institute Of Mental Health / Woodbridge Hospital,2017,9316,Polyclinics,5925787,Nursing Homes,14918
    Institute Of Mental Health / Woodbridge Hospital,2017,9316,Dental Clinics,1067080,Acute Hospitals,10340
    Institute Of Mental Health / Woodbridge Hospital,2017,9316,Dental Clinics,1067080,Psychiatric Hospitals,1950
    Institute Of Mental Health / Woodbridge Hospital,2017,9316,Dental Clinics,1067080,Community Hospitals,1663
    Institute Of Mental Health / Woodbridge Hospital,2017,9316,Dental Clinics,1067080,Nursing Homes,14918
    Institute Of Mental Health / Woodbridge Hospital,2017,9316,Day Surgeries,339933,Acute Hospitals,10340
    Institute Of Mental Health / Woodbridge Hospital,2017,9316,Day Surgeries,339933,Psychiatric Hospitals,1950
    Institute Of Mental Health / Woodbridge Hospital,2017,9316,Day Surgeries,339933,Community Hospitals,1663
    Institute Of Mental Health / Woodbridge Hospital,2017,9316,Day Surgeries,339933,Nursing Homes,14918
    Kandang Kerbau Women's & Children's Hospital,2017,73102,Acute Hospitals Admissions,568117,Acute Hospitals,10340
    Kandang Kerbau Women's & Children's Hospital,2017,73102,Acute Hospitals Admissions,568117,Psychiatric Hospitals,1950
    Kandang Kerbau Women's & Children's Hospital,2017,73102,Acute Hospitals Admissions,568117,Community Hospitals,1663
    Kandang Kerbau Women's & Children's Hospital,2017,73102,Acute Hospitals Admissions,568117,Nursing Homes,14918
    Kandang Kerbau Women's & Children's Hospital,2017,73102,Psychiatric Hospitals Admissions,9316,Acute Hospitals,10340
    Kandang Kerbau Women's & Children's Hospital,2017,73102,Psychiatric Hospitals Admissions,9316,Psychiatric Hospitals,1950
    Kandang Kerbau Women's & Children's Hospital,2017,73102,Psychiatric Hospitals Admissions,9316,Community Hospitals,1663
    Kandang Kerbau Women's & Children's Hospital,2017,73102,Psychiatric Hospitals Admissions,9316,Nursing Homes,14918
    Kandang Kerbau Women's & Children's Hospital,2017,73102,Community Hospitals Admissions,16355,Acute Hospitals,10340
    Kandang Kerbau Women's & Children's Hospital,2017,73102,Community Hospitals Admissions,16355,Psychiatric Hospitals,1950
    Kandang Kerbau Women's & Children's Hospital,2017,73102,Community Hospitals Admissions,16355,Community Hospitals,1663
    Kandang Kerbau Women's & Children's Hospital,2017,73102,Community Hospitals Admissions,16355,Nursing Homes,14918
    Kandang Kerbau Women's & Children's Hospital,2017,73102,Specialist Outpatient Clinics,4973743,Acute Hospitals,10340
    Kandang Kerbau Women's & Children's Hospital,2017,73102,Specialist Outpatient Clinics,4973743,Psychiatric Hospitals,1950
    Kandang Kerbau Women's & Children's Hospital,2017,73102,Specialist Outpatient Clinics,4973743,Community Hospitals,1663
    Kandang Kerbau Women's & Children's Hospital,2017,73102,Specialist Outpatient Clinics,4973743,Nursing Homes,14918
    Kandang Kerbau Women's & Children's Hospital,2017,73102,Accident & Emergency Departments,993458,Acute Hospitals,10340
    Kandang Kerbau Women's & Children's Hospital,2017,73102,Accident & Emergency Departments,993458,Psychiatric Hospitals,1950
    Kandang Kerbau Women's & Children's Hospital,2017,73102,Accident & Emergency Departments,993458,Community Hospitals,1663
    Kandang Kerbau Women's & Children's Hospital,2017,73102,Accident & Emergency Departments,993458,Nursing Homes,14918
    Kandang Kerbau Women's & Children's Hospital,2017,73102,Polyclinics,5925787,Acute Hospitals,10340
    Kandang Kerbau Women's & Children's Hospital,2017,73102,Polyclinics,5925787,Psychiatric Hospitals,1950
    Kandang Kerbau Women's & Children's Hospital,2017,73102,Polyclinics,5925787,Community Hospitals,1663
    Kandang Kerbau Women's & Children's Hospital,2017,73102,Polyclinics,5925787,Nursing Homes,14918
    Kandang Kerbau Women's & Children's Hospital,2017,73102,Dental Clinics,1067080,Acute Hospitals,10340
    Kandang Kerbau Women's & Children's Hospital,2017,73102,Dental Clinics,1067080,Psychiatric Hospitals,1950
    Kandang Kerbau Women's & Children's Hospital,2017,73102,Dental Clinics,1067080,Community Hospitals,1663
    Kandang Kerbau Women's & Children's Hospital,2017,73102,Dental Clinics,1067080,Nursing Homes,14918
    Kandang Kerbau Women's & Children's Hospital,2017,73102,Day Surgeries,339933,Acute Hospitals,10340
    Kandang Kerbau Women's & Children's Hospital,2017,73102,Day Surgeries,339933,Psychiatric Hospitals,1950
    Kandang Kerbau Women's & Children's Hospital,2017,73102,Day Surgeries,339933,Community Hospitals,1663
